Education,Relation_status,Seniority(in Years),Has_child,Children,Cluster,Age_group,Income_group,Wines_segment,Fruits_segment,Meat_segment,Fish_segment,Sweets_segment,Gold_segment
Postgraduate,Alone,9.31,No child,No child,Stars,Mature,Medium to high income,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
Postgraduate,Alone,9.31,Has child,2 children,Leaky bucket,Senior,Medium to high income,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,10.41,No child,No child,High potential,Adult,Low income,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
Postgraduate,Alone,10.28,No child,No child,Need attention,Senior,High income,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
Postgraduate,In couple,10.20,Has child,2 children,High potential,Adult,Low to medium income,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer
Postgraduate,In couple,10.52,No child,No child,High potential,Senior,Low to medium income,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,9.94,Has child,1 child,Need attention,Senior,High income,Biggest consumer,Biggest consumer,Biggest consumer,Non consumer,Frequent consumer,Biggest consumer
Undergraduate,Alone,10.34,Has child,1 child,High potential,Adult,Low income,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,10.58,No child,No child,High potential,Adult,Low to medium income,Frequent consumer,Low consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,10.16,Has child,1 child,High potential,Adult,Low income,Low consumer,Low consumer,Biggest consumer,Low consumer,Low consumer,Low consumer
Postgraduate,In couple,10.20,Has child,1 child,Need attention,Senior,Medium to high income,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer
Postgraduate,In couple,9.15,Has child,1 child,Stars,Senior,Medium to high income,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
Postgraduate,In couple,9.97,Has child,1 child,High potential,Senior,Low to medium income,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
Postgraduate,Alone,10.18,No child,No child,High potential,Mature,Low income,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,9.78,Has child,2 children,High potential,Mature,Medium to high income,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,9.77,Has child,1 child,High potential,Adult,Low to medium income,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
Postgraduate,In couple,9.29,No child,No child,Stars,Mature,High income,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Non consumer
Postgraduate,Alone,8.79,No child,No child,Leaky bucket,Adult,Low income,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
Postgraduate,In couple,9.82,No child,No child,High potential,Mature,Low to medium income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
Postgraduate,In couple,10.41,Has child,1 child,High potential,Mature,Low to medium income,Frequent consumer,Non consumer,Low consumer,Low consumer,Non consumer,Low consumer
Postgraduate,Alone,10.35,Has child,2 children,High potential,Senior,Low to medium income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,10.04,No child,No child,Need attention,Senior,High income,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
Postgraduate,Alone,9.52,Has child,2 children,Leaky bucket,Senior,Low to medium income,Frequent consumer,Non consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
Postgraduate,In couple,9.18,Has child,1 child,Stars,Mature,Medium to high income,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
Undergraduate,In couple,9.51,Has child,1 child,Leaky bucket,Mature,Low income,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,Alone,9.07,Has child,1 child,Leaky bucket,Mature,Low to medium income,Frequent consumer,Non consumer,Low consumer,Low consumer,Non consumer,Low consumer
Postgraduate,Alone,10.09,No child,No child,Need attention,Senior,Low to medium income,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer
Postgraduate,In couple,9.85,Has child,1 child,Need attention,Adult,High income,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
Postgraduate,In couple,9.99,Has child,1 child,High potential,Adult,Low income,Low consumer,Low consumer,Frequent consumer,Low consumer,Non consumer,Low consumer
Postgraduate,In couple,10.20,Has child,1 child,High potential,Senior,Low income,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
Postgraduate,In couple,9.43,Has child,1 child,Leaky bucket,Mature,Low income,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
Postgraduate,Alone,8.69,No child,No child,Stars,Mature,High income,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
Undergraduate,In couple,10.32,No child,No child,High potential,Young,Low income,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,9.79,Has child,1 child,High potential,Mature,Low to medium income,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,10.33,Has child,2 children,Need attention,Senior,High income,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,Alone,8.82,Has child,1 child,Stars,Senior,Medium to high income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
Postgraduate,In couple,10.57,No child,No child,Need attention,Mature,High income,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer
Postgraduate,Alone,10.18,Has child,1 child,High potential,Mature,Low to medium income,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer
Postgraduate,Alone,8.75,No child,No child,Stars,Mature,High income,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
Postgraduate,In couple,9.73,Has child,2 children,Need attention,Adult,Medium to high income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
Postgraduate,In couple,10.30,No child,No child,Need attention,Senior,High income,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
Postgraduate,Alone,9.93,No child,No child,Need attention,Mature,High income,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
Postgraduate,Alone,8.86,Has child,1 child,Leaky bucket,Adult,Low income,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
Postgraduate,In couple,9.01,Has child,1 child,Stars,Mature,Medium to high income,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer
Postgraduate,Alone,9.67,No child,No child,Need attention,Adult,High income,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
Postgraduate,In couple,10.50,Has child,2 children,Need attention,Mature,Medium to high income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
Postgraduate,Alone,10.05,Has child,1 child,Need attention,Senior,Medium to high income,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
Postgraduate,Alone,9.74,Has child,1 child,Need attention,Senior,Medium to high income,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Frequent consumer,Low consumer
Postgraduate,In couple,9.25,No child,No child,Stars,Senior,High income,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
Postgraduate,In couple,9.79,Has child,1 child,High potential,Mature,Low income,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,8.82,Has child,2 children,Leaky bucket,Mature,Low income,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Non consumer
Undergraduate,Alone,8.97,Has child,1 child,Stars,Adult,High income,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,9.44,Has child,1 child,Stars,Mature,High income,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer
Postgraduate,In couple,9.91,Has child,3 children,Need attention,Mature,High income,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
Postgraduate,In couple,10.48,No child,No child,Need attention,Senior,Medium to high income,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
Postgraduate,In couple,9.97,Has child,1 child,Need attention,Mature,Medium to high income,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
Postgraduate,In couple,9.92,Has child,2 children,Need attention,Mature,Medium to high income,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,8.85,No child,No child,Leaky bucket,Senior,Low income,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer,Low consumer
Postgraduate,Alone,10.21,Has child,1 child,High potential,Mature,Low to medium income,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
Postgraduate,In couple,10.53,No child,No child,Need attention,Mature,High income,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer
Postgraduate,Alone,10.40,No child,No child,Need attention,Mature,High income,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
Undergraduate,In couple,9.50,No child,No child,Leaky bucket,Mature,Low income,Low consumer,Non consumer,Low consumer,Non consumer,Low consumer,Low consumer
Postgraduate,In couple,10.18,No child,No child,Need attention,Mature,Medium to high income,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer
Postgraduate,Alone,10.52,Has child,1 child,High potential,Adult,Low income,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,9.70,Has child,1 child,High potential,Mature,Low income,Low consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer
Undergraduate,In couple,9.68,Has child,1 child,High potential,Mature,Low income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer
Postgraduate,In couple,9.82,No child,No child,High potential,Mature,Low to medium income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
Postgraduate,Alone,9.03,No child,No child,Stars,Adult,High income,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer
Postgraduate,In couple,9.57,Has child,2 children,Leaky bucket,Mature,Low income,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer
Postgraduate,In couple,9.64,Has child,2 children,Leaky bucket,Mature,Low to medium income,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
Postgraduate,Alone,8.78,Has child,1 child,Leaky bucket,Senior,Low to medium income,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Low consumer,Frequent consumer
Postgraduate,In couple,8.82,No child,No child,Stars,Mature,High income,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
Postgraduate,In couple,9.12,Has child,1 child,Leaky bucket,Mature,Medium to high income,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Non consumer,Low consumer
Postgraduate,Alone,8.96,Has child,1 child,Leaky bucket,Mature,Low to medium income,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer,Low consumer
Postgraduate,In couple,8.79,Has child,1 child,Leaky bucket,Mature,Low income,Frequent consumer,Low consumer,Low consumer,Non consumer,Non consumer,Non consumer
Postgraduate,In couple,8.79,Has child,1 child,Leaky bucket,Adult,Low income,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer
Postgraduate,Alone,10.29,Has child,1 child,High potential,Mature,Low to medium income,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Biggest consumer
Postgraduate,Alone,9.90,Has child,2 children,High potential,Mature,Medium to high income,Frequent consumer,Low consumer,Low consumer,Non consumer,Low consumer,Low consumer
Undergraduate,In couple,9.26,No child,No child,Stars,Senior,High income,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Non consumer,Biggest consumer
Postgraduate,In couple,9.71,No child,No child,High potential,Adult,Low to medium income,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer
Undergraduate,Alone,9.62,Has child,1 child,Leaky bucket,Mature,Low to medium income,Frequent consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
Postgraduate,Alone,8.94,Has child,1 child,Leaky bucket,Mature,Low income,Frequent consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer
Postgraduate,In couple,9.88,Has child,1 child,Need attention,Adult,High income,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
Postgraduate,In couple,9.81,No child,No child,Need attention,Senior,Medium to high income,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
Postgraduate,In couple,8.83,No child,No child,Stars,Mature,High income,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
Undergraduate,In couple,9.24,Has child,1 child,Leaky bucket,Adult,Low income,Low consumer,Low consumer,Low consumer,Frequent consumer,Non consumer,Low consumer
Postgraduate,In couple,9.45,Has child,2 children,Leaky bucket,Mature,Low to medium income,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
Postgraduate,In couple,10.09,Has child,2 children,Need attention,Mature,Medium to high income,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
Postgraduate,Alone,10.21,Has child,1 child,High potential,Adult,Low to medium income,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
Postgraduate,In couple,10.25,No child,No child,Need attention,Mature,High income,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,9.34,Has child,1 child,Stars,Adult,High income,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
Postgraduate,Alone,10.32,No child,No child,Need attention,Adult,Medium to high income,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer
Postgraduate,In couple,8.70,Has child,1 child,Stars,Mature,Medium to high income,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Biggest consumer
Postgraduate,Alone,10.18,No child,No child,Need attention,Adult,High income,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,10.23,Has child,1 child,High potential,Adult,Low to medium income,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Biggest consumer
Postgraduate,Alone,9.49,Has child,2 children,Leaky bucket,Mature,Low to medium income,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Low consumer,Frequent consumer
Postgraduate,In couple,9.12,No child,No child,Stars,Mature,High income,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
Undergraduate,In couple,10.04,Has child,1 child,High potential,Adult,Low to medium income,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
Undergraduate,In couple,9.65,Has child,2 children,High potential,Mature,Low income,Low consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,9.31,Has child,1 child,Leaky bucket,Mature,Low income,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer
Postgraduate,In couple,9.71,Has child,1 child,Need attention,Senior,Medium to high income,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
Postgraduate,Alone,9.03,Has child,1 child,Leaky bucket,Mature,Low income,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Low consumer,Low consumer
Postgraduate,In couple,9.50,Has child,2 children,Leaky bucket,Adult,Low income,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
Postgraduate,Alone,9.87,Has child,1 child,High potential,Mature,Low income,Low consumer,Non consumer,Low consumer,Frequent consumer,Low consumer,Low consumer
Postgraduate,Alone,9.99,No child,No child,Need attention,Adult,High income,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer
Undergraduate,In couple,10.05,No child,No child,Need attention,Mature,High income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
Postgraduate,Alone,9.88,No child,No child,Need attention,Adult,High income,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Non consumer,Biggest consumer
Postgraduate,In couple,8.75,Has child,2 children,Leaky bucket,Senior,Medium to high income,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
Postgraduate,In couple,8.82,Has child,2 children,Stars,Senior,High income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,9.43,Has child,1 child,Stars,Senior,Medium to high income,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
Postgraduate,Alone,9.99,Has child,2 children,Need attention,Mature,Medium to high income,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,9.07,No child,No child,Stars,Mature,High income,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
Postgraduate,In couple,9.56,Has child,2 children,Leaky bucket,Mature,Low to medium income,Frequent consumer,Non consumer,Frequent consumer,Low consumer,Non consumer,Frequent consumer
Postgraduate,In couple,9.97,No child,No child,Need attention,Mature,Medium to high income,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer
Undergraduate,Alone,10.58,Has child,1 child,High potential,Mature,Low income,Non consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer
Postgraduate,In couple,9.67,Has child,3 children,High potential,Mature,Low income,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Non consumer,Frequent consumer
Postgraduate,Alone,8.80,Has child,2 children,Leaky bucket,Mature,Low to medium income,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
Postgraduate,Alone,9.61,Has child,2 children,Leaky bucket,Mature,Low to medium income,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
Postgraduate,Alone,10.38,No child,No child,Need attention,Adult,High income,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer
Postgraduate,In couple,9.31,Has child,1 child,Stars,Mature,Medium to high income,Biggest consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,9.88,No child,No child,Need attention,Mature,High income,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
Postgraduate,Alone,9.52,Has child,1 child,Stars,Mature,Medium to high income,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,9.97,Has child,1 child,High potential,Adult,Low to medium income,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer
Postgraduate,In couple,10.38,Has child,2 children,Need attention,Mature,Medium to high income,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,10.36,Has child,1 child,High potential,Mature,Low income,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,9.52,Has child,1 child,Leaky bucket,Adult,Low to medium income,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer,Low consumer
Undergraduate,In couple,10.54,Has child,3 children,High potential,Mature,Low to medium income,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer
Postgraduate,In couple,8.71,No child,No child,Leaky bucket,Mature,Low to medium income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
Postgraduate,In couple,8.87,Has child,2 children,Stars,Senior,Medium to high income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,9.00,Has child,1 child,Stars,Mature,Medium to high income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
Undergraduate,In couple,10.23,Has child,1 child,High potential,Mature,Low to medium income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
Postgraduate,Alone,8.82,Has child,1 child,Leaky bucket,Adult,Low income,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,10.41,Has child,1 child,Need attention,Senior,Medium to high income,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Biggest consumer
Postgraduate,In couple,10.04,No child,No child,Need attention,Senior,High income,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,Alone,9.66,Has child,1 child,Leaky bucket,Mature,Low to medium income,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer
Postgraduate,Alone,9.48,Has child,3 children,Leaky bucket,Adult,Medium to high income,Low consumer,Low consumer,Low consumer,Low consumer,Non consumer,Non consumer
Postgraduate,In couple,9.39,Has child,1 child,Leaky bucket,Mature,Medium to high income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,Alone,9.55,No child,No child,Stars,Senior,High income,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
Postgraduate,Alone,9.68,Has child,3 children,High potential,Mature,Low income,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
Postgraduate,In couple,10.33,No child,No child,Need attention,Senior,High income,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,9.17,Has child,1 child,Leaky bucket,Adult,Low income,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer
Postgraduate,Alone,9.85,No child,No child,Need attention,Mature,High income,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,9.02,Has child,1 child,Stars,Mature,High income,Low consumer,Low consumer,Biggest consumer,Low consumer,Low consumer,Low consumer
Postgraduate,In couple,9.31,Has child,3 children,Leaky bucket,Mature,Low to medium income,Low consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
Postgraduate,Alone,9.30,No child,No child,Stars,Senior,Medium to high income,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
Postgraduate,Alone,9.52,No child,No child,Leaky bucket,Mature,Medium to high income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Low consumer
Postgraduate,Alone,9.34,No child,No child,Stars,Adult,Medium to high income,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
Postgraduate,In couple,9.03,Has child,2 children,Leaky bucket,Senior,Low income,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,8.88,Has child,2 children,Leaky bucket,Mature,Low income,Low consumer,Low consumer,Low consumer,Frequent consumer,Low consumer,Low consumer
Postgraduate,In couple,9.65,Has child,1 child,High potential,Adult,Low income,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,8.88,Has child,2 children,Leaky bucket,Mature,Low to medium income,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
Postgraduate,In couple,9.10,Has child,2 children,Leaky bucket,Mature,Medium to high income,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
Postgraduate,Alone,8.92,Has child,1 child,Leaky bucket,Mature,Medium to high income,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Frequent consumer
Postgraduate,In couple,10.48,Has child,1 child,Need attention,Mature,High income,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
Postgraduate,In couple,10.22,No child,No child,Need attention,Senior,High income,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
Postgraduate,In couple,8.79,Has child,2 children,Leaky bucket,Mature,Low to medium income,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
Postgraduate,In couple,8.70,Has child,3 children,Leaky bucket,Mature,Low to medium income,Low consumer,Non consumer,Low consumer,Low consumer,Non consumer,Low consumer
Undergraduate,In couple,9.26,No child,No child,Stars,Senior,High income,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Non consumer,Biggest consumer
Postgraduate,In couple,8.82,Has child,1 child,Leaky bucket,Mature,Medium to high income,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer
